true_item_id,query
241981,Is a PhD in chemistry worth pursuing?
96178,Who is the most badass footballer ever?
429697,What are things which I can export from india?
532049,What is the best question and answer platform?
184530,What are some good books for web developers to learn about design?
95514,What are some activities that people (adults) with various disabilities can all enjoy?
395794,Why is my Yahoo! sign in failing?
67925,What are some examples of controversial topics in special education?
150661,How many times do you have to smoke weed before you get high?
404641,Can I do an MBA after BE?
217775,What happens to me if I die?
380768,What is the best way to lead my life?
384437,How should we prepare for Google interview?
70946,What supplements can I take for lack of energy?
166556,If I come across a mountain lion what should I do?
217859,What is the primary industry? What are some examples?
107869,Who is the best actor of Bollywood now?
435572,What is the future in veterinary medicine?
533468,What would make artificial light indistinguishable from sunlight?
448957,How do you learn how to write non-fiction creatively?
351574,What hidden rules are in Quora?
90418,Why don t install a battery for desktop computer?
223834,How does one become good at mathematical proofs?
10000,How do we know the difference between pasteurized milk and sterilized milk?
424810,What is Modi s biggest weakness?
23097,What is power dynamics?
175444,How much does a talkspace therapist make an hour?
253744,What is the best brokerage firm for beginners?
442123,I want to be a billionaire how do I accomplish this?
27299,How can I increase our website conversion rate?
486070,How can I travel to Germany I am from Colombia?
434135,What are the most interesting facts about silicon?
19027,What are some shows like Bates Motel?
288954,What is the right time to get PMP certification?
198745,Which online coaching institute is best for CAT Preparation?
35414,What a great diet to lose weight fast and not make you hungry or keep on measuring portions?
125840,What problem will old people face?
111124,Can I use a tester in a 3 phase current?
113222,Who was the funniest U.S. president?
132303,Is it possible for Indian Government to track new 2000 rupee (INR) note?
15057,How can you tell if someone is being honest or not?
380933,What are some fun and cool programming projects I can work on during my first year of engineering?
246377,What is the average penis length?
283701,Why did Hillary Clinton call half of Donald Trump s supporters a basket of deplorables?
459175,What is the best way to remove a virus that blocks my internet connection?
534941,What are the steps to becoming a commercial pilot in the United States?
383983,How have smartphones impacted people?
423692,How many people here suffer from depression?
40822,What is the best infrastructure monitoring tool?
386078,Which is the best website in India to get an online doctor s consultation?
535497,What are the best restaurants in Guwahati?
270391,I am studying degree in computer science. But I am not good at coding and basics. What should I do to improve my coding skills?
146693,How can I find the perfect name for my company?
294798,Does Trump likes to play any computer or console games?
31507,Who is the best Indian singer?
309549,What are the stages of becoming a good programmer?
528029,How does the porn industry stay profitable when everyone seems to watch free porn online now?
108498,What is the difference between shield and composite volcanoes?
375366,What is the best Xbox 360 model?
379191,What is the best software for circuit design and simulation?
436473,Who is Marina Abramovic?
290252,Why were the Oslo Accords important?
149452,Are Einstein s gravitational wave and de Broglie s wave-particle duality wave waves in the dark matter sea of massive particles filling  empty  space?
357584,How will Fidel Castro s death impact the world and history for years to come?
285646,What is Panipat Syndrome?
533077,How can I stay awake at night?
406259,How can I move to US from Australia?
298879,How do you keep yourself busy after retirement?
89101,What are the best books for learning computer science?
378225,What are Liverpool s chances of wining the premier league this season?
96519,Would you marry a girl if she has had a boyfriend in the past?
293427,How many trees have you planted?
153861,Is it possible to switch from a service based company to a product based company?
193127,What are some things to do for an 18th birthday?
501149,Do we need a President of the United States?
433865,Why is mathematics important?
428534,I take lexapro at night time before going to sleep will it work or do I need to take it in the morning?
411732,Did Hillary Clinton perjure herself before the Benghazi committee?
304650,Who is best neurologist in Kolkata?
505765,Are American parents in the future going to be helicopter parents?
38841,Can 17 year old students open a zero balance bank account? If yes which banks provide them.
156591,Can we eat Apple at night?
471263,How many country does the United Kingdom consist of? What are they?
462268,Can I get my passport photo taken at Walmart?
122551,What is the best mtech course for automobile engineering students?
32694,How do I get rid of hair loss and a damaged scalp?
398520,How do I fix a stiff neck?
98587,How do I execute a business idea?
95314,I have a great idea for a mobile app but I do not know how to code. What should I do to make this idea a reality?
400899,Which hotels in ernakulam allow unmarried couples?
69907,How can I figure out what I really want to do with my life?
208240,How do we go for a research while studying mbbs?
521971,What is the point of having separate male and female tournaments in chess?
190121,What is waterproof wood filler and what are its uses?
242264,How can I boost the sale on my E-commerce website?
82714,What are the principles of hydraulics?
125680,What are some ways to monetise your Twitter account?
479568,What are some good old songs?
322212,Why is fast food generally considered bad for health?
199154,What are good online shopping website in India?
362863,Do I need ISBN to sell my books?
327880,Which are the highest paying software startups in Bengaluru?
385804,What will be the qualifying marks for neet 2016?
136938,Why does Quora app drain battery?
13720,Why do some educated people in developed countries choose to join ISIS?
300800,What are bad habits?
394150,Do pretty women liked being look at and noticed by everyone?
198074,Is there a way to pass local variable from function to another function in Python?
400954,Where can i get eBay coupon codes 2016?
406037,Can I delete answers to my questions?
453374,What is the best gaming pc configuration under 75k INR?
122591,Should I sell stocks for home down payment?
471871,How can poverty be reduced or eliminated worldwide?
138119,What is the greatest English-language novel of all time?
